http://www.internetlivestats.com/total-number-of-websites/,,,,,,,,,
"There are over 1 billion websites on the world wide web today. This milestone was first reached in September of 2014, as confirmed by NetCraft in its October 2014 Web Server Survey and first estimated and announced by Internet Live Stats (see the tweet from the inventor of the World Wide Web, Tim Berners-Lee). The number had subsequently declined, reverting back to a level below 1 billion (due to the monthly fluctuations in the count of inactive websites) before reaching again and stabilizing above the 1 billion mark starting in March of 2016. From 1 website in 1991 to 1 billion in 2014, the chart and table below show the total number of websites by year throughout history:",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"By ""Website"" we mean unique hostname (a name which can be resolved, using a name server, into an IP Address).",,,,,,,,,
"It must be noted that around 75% of websites today are not active, but parked domains or similar. [1]",,,,,,,,,
,,,,,,,,,
Curious facts,,,,,,,,,
"The first-ever website (info.cern.ch) was published on August 6, 1991 by British physicist Tim Berners-Lee while at CERN, in Switzerland. [2] On April 30, 1993 CERN made World Wide Web (""W3"" for short) technology available on a royalty-free basis to the public domain, allowing the Web to flourish.[3]",,,,,,,,,
"The World Wide Web was invented in March of 1989 by Tim Berners-Lee (see the original proposal). He also introduced the first web server, the first browser and editor (the “WorldWideWeb.app”), the Hypertext Transfer Protocol (HTTP) and, in October 1990, the first version of the ""HyperText Markup Language"" (HTML).[4]",,,,,,,,,
"In 2013 alone, the web has grown by more than one third: from about 630 million websites at the start of the year to over 850 million by December 2013 (of which 180 million were active).",,,,,,,,,
"Over 50% of websites today are hosted on either Apache or nginx, both open source web servers.[5] As of June 2014, Microsoft has got very close to Apache in terms of market share (only a 0.15% difference separates the two). If the trend continues, Microsoft could soon become the leading web server developer for the first time in history.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Netcraft Web Server Survey -- downloaded 3/8/17,,,,,,,,,
Source:,,http://news.netcraft.com/archives/category/web-server-survey,,,,,,,
,Compiled by:,,Pingdom.com,,,,,,
,Corrections and questions:,,press@pingdom.com,,,,,,
,,,,,,,,,
Month,Total,Apache,Google,lighttpd,Microsoft,NGINX,Sun/SunONE,Zeus,qq.com
3-Feb,35863952,22492327,0,0,9687454,0,428004,768951,
3-Mar,39174349,24486857,0,0,10748795,0,419120,794940,
3-Apr,40100739,25090844,0,0,11007434,0,415999,789324,
3-May,40444778,25290478,0,0,10989025,0,420398,780936,
3-Jun,40936076,25856505,0,0,10992195,0,419968,779982,
3-Jul,42298371,26951879,0,0,10976342,0,674571,766943,
3-Aug,42807275,27388860,0,0,10165745,0,1534586,746240,
3-Sep,43144374,27836622,0,0,10156289,0,1501241,742950,
3-Oct,43700759,28235972,0,0,10252227,0,1528090,735179,
3-Nov,44946965,30298060,0,0,9449180,0,1525202,743611,
3-Dec,45980112,31005690,0,0,9596571,0,1530372,749791,
4-Jan,46067743,31040922,0,0,9675979,0,1503855,752053,
4-Feb,47173415,31703884,0,0,9849971,0,1657295,755227,
4-Mar,48038131,31703884,0,0,9849971,0,1651575,762716,
4-Apr,49750568,33329879,,0,10691683,0,1661229,763302,
4-May,50550965,33892817,,,10858168,,1644412,754014,
4-Jun,51635284,34710235,,,11021807,,1659956,763152,
4-Jul,52131889,35122146,,,11115660,,1656671,754721,
4-Aug,53341867,36112220,,,11311414,,1675940,744734,
4-Sep,54407216,36915721,,,11502756,,1671560,750335,
4-Oct,55388466,37620349,,,11679222,,1685325,748561,
4-Nov,56115015,38028642,,,11923566,,1761705,739006,
4-Dec,56923737,38614673,,,12062761,,1812966,687508,
5-Jan,58194836,39821368,,,12137446,,1830008,690193,
5-Feb,59100880,40681140,,,12322111,,1835718,618599,
5-Mar,60442655,41819229,0,,12420068,0,1836275,610819,
5-Apr,62286451,43174442,,,12735588,,1880921,576582,
5-May,63532742,44072262,,,13049346,,1856222,562614,
5-Jun,64808485,45172895,,,13131361,,1849471,580844,
5-Jul,67571581,47030635,,,13871645,,1842812,608121,
5-Aug,70392567,48895205,,,14384006,,1864788,580675,
5-Sep,71723098,49598424,,,14601553,,1868891,584598,
5-Oct,74409971,52005811,,,15293030,,585972,1889989,
5-Nov,74572794,52928740,,,15096547,,579776,1879576,
5-Dec,74353258,52025380,,,15557786,,1881861,577384,
6-Jan,75251256,50502840,,,15510953,,1879856,561524,
6-Feb,76184000,51810676,,,15666702,,1880313,579198,
6-Mar,77568868,53287298,0,,15912427,0,1881587,574607,
6-Apr,80655992,50588433,,,20343656,,1907503,563381,
6-May,81565877,52819517,,,20764239,,1917950,550437,
6-Jun,85541228,52389885,,,25415611,,1311822,531399,
6-Jul,88166395,55622584,,,25988099,,347037,518503,
6-Aug,92615362,57906817,,,27905439,,344862,521619,
6-Sep,96854877,59699872,,,30272249,,345834,515670,
6-Oct,97932447,60166642,,,30704021,,332113,522311,
6-Nov,101435253,61183776,,,31487005,,1703767,520228,
6-Dec,105244649,63819607,,,32277976,,1763847,635673,
7-Jan,106875138,64312083,,,32898421,,1749026,551767,
7-Feb,108810358,63869543,,,33833566,,1845584,530596,
7-Mar,110460149,64747516,0,,34265321,0,1851269,525405,
7-Apr,113658468,66899485,,1382843,35380121,,1907610,488838,
7-May,118023363,66087698,,1411788,37170290,,2141252,491989,
7-Jun,122000635,65588298,4872765,1470930,38836030,,2273173,480698,
7-Jul,125626329,66144734,5465538,1471779,41257913,,2245493,463449,
7-Aug,127961479,65153417,5697504,1500126,43861854,,2195495,562438,
7-Sep,135166473,68228561,6616713,1515963,47232300,,2212821,,
7-Oct,142805398,68155320,7763516,1541779,53017735,,2262019,,
7-Nov,149784002,76028287,7910879,1505122,53679916,,619262,,
7-Dec,155230051,76945640,8558256,1521250,55509223,,588997,,
8-Jan,155583825,78735581,8290471,1536981,55709926,,557673,,
8-Feb,158209426,80580183,8169930,1565536,56265527,,547510,,
8-Mar,162662052,82454415,9012004,1552650,57698503,0,546581,,
8-Apr,165719150,83554638,10079333,1495308,58547355,,547873,,
8-May,168408112,83746837,10127956,1523148,58991106,,545651,,
8-Jun,172338726,84647780,10468720,1532952,60995528,,550723,,
8-Jul,175480931,86845154,10001763,2942469,62411537,,,,
8-Aug,176748506,88047801,10502299,2914867,61646837,,,,
8-Sep,181277835,91425295,10076405,3095928,62374823,,,,
8-Oct,182226259,91888508,10487607,3072457,62766928,,,,
8-Nov,185167897,93207591,10996941,3030958,63871279,,,,
8-Dec,186727854,95678052,10455103,3046333,63126940,3354329,,,
9-Jan,185497213,96947298,9868819,2989416,61038371,3462551,,,
9-Feb,215675903,104796820,8157546,,62935449,3447596,,,20021763
9-Mar,224749695,104178852,5403930,,66229250,3838784,,,28905129
9-Apr,231510169,106368727,7229033,,67767928,6100424,,,28905133
9-May,235890526,109672897,8678011,,66871466,6342250,,,28905135
9-Jun,238027855,112162110,11858840,,59034213,8771415,,,30447369
9-Jul,239611111,113019868,14226904,,55918254,10174573,,,30447369
9-Aug,225950957,104611555,14213976,,49579507,11502109,,,30278988
9-Sep,226099841,105416925,13767338,,49615010,12676238,,,30069048
9-Oct,230443449,108078535,13819947,,49723999,13813997,,,30069136
9-Nov,233636281,110201883,13771004,1113605,49691412,14988610,,,30069189
9-Dec,233848493,108953838,14110280,840654,49184244,16249950,,,30069277
10-Jan,206741990,111307941,14550011,955146,49792844,15568224,,,
10-Feb,207316960,112903926,14315464,1097685,50928226,13978719,,,
10-Mar,206675938,112747166,14592133,1657584,50572540,12673962,,,
10-Apr,205368103,110752854,13749829,1078403,51284570,12977486,,,
10-May,206026787,112663533,12357212,1869658,52062154,13490726,,,
10-Jun,206956723,111792321,15375950,1704797,53865345,11264229,,,
10-Jul,205714253,112945968,15849853,1258800,53217620,11474696,,,
10-Aug,213458815,119664128,15526781,1821824,53434586,11713607,,,
10-Sep,227225642,129782948,15312751,1818032,54787167,12779550,,,
10-Oct,232839963,135209162,14971028,1380160,53525841,14130907,,,
10-Nov,249461227,148085963,14827157,2070300,56637980,15058114,,,
10-Dec,255287546,151516152,14933865,1308935,56723544,16910205,,,
11-Jan,273301445,161591445,15112532,1866872,57392351,20504634,,,
11-Feb,284842077,171195554,14454484,1953966,57084126,21570463,,,
11-Mar,298002705,179720332,15161530,1796471,57644692,22806060,,,
11-Apr,312693296,191139966,14690422,1862963,58867097,23463669,,,
11-May,324697205,203609890,16219824,1884876,59646778,23850265,,,
11-Jun,346004403,224484657,15958106,,58213391,22668760,,,
11-Jul,357292065,235326985,15641574,,60086346,23357497,,,
11-Aug,463000317,301771518,17061003,,73415916,35533439,,,
11-Sep,485173671,315605335,17265308,,76323018,38970683,,,
11-Oct,504082040,326008432,17487924,,78937065,43037079,,,
11-Nov,525998433,341880662,17749748,,81261099,44731780,,,
11-Dec,555482744,362267922,18464148,,82521809,49143289,,,
12-Jan,582716657,378267399,18936381,,84288985,56087776,,,
12-Feb,612843429,397867089,19394196,,88210995,60627200,,,
12-Mar,644275754,420337139,21150938,,88971973,65369149,,,
12-Apr,676919707,443102561,22039901,,92488751,69869916,,,
12-May,662959946,425631721,21264616,,92406480,70764248,,,
12-Jun,697089482,448452703,22464345,,95891537,72881755,,,
12-Jul,665916461,409185675,22931169,,97385377,77833173,,,
12-Aug,628170204,373069751,22561854,,96529586,72429976,,,
12-Sep,620132319,362714083,21576233,,97368803,73976009,,,
12-Oct,620480777,359875516,20947340,,101005285,73243944,,,
12-Nov,625329303,357865215,21090410,,103333170,74437764,,,
12-Dec,633706564,352951511,21870614,,111570010,76460756,,,
13-Jan,629939191,348119032,22573858,,106619177,79640472,,,
13-Feb,630795511,344915105,22717984,,104647425,81074694,,,
13-Mar,631521198,341021574,22605646,,113712293,85467555,,,
13-Apr,649072682,331112893,22707568,,129516421,96115847,,,
13-May,672837096,359441468,23029260,,112303412,104411087,,,
13-Jun,672985183,358974045,26036616,,115920681,97991191,,,
13-Jul,698823509,364696792,27406059,,137351211,95017255,,,
13-Aug,716822317,336622050,30550914,,163098703,104311568,,,
13-Sep,739032236,346288706,34806502,,160691763,111680078,,,
13-Oct,767234152,344408387,34127482,,177216296,123114800,,,
13-Nov,785293473,348159702,37748743,,190451702,109968564,,,
13-Dec,861023217,355244900,38263525,,241777723,126485204,,,
14-Jan,861379152,358669012,21280639,,253438493,124052996,,,
